kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[3],in,,1,0.003736,0.022095,0.012239,4.012239,v
net_delay,input4/A,sky130_fd_sc_hd__clkdlybuf4s25_1,ui_in[3],,,0.022104,0.0,4.012239,v
cell_delay,input4/X,sky130_fd_sc_hd__clkdlybuf4s25_1,ui_in[3],4,0.0175,0.252009,0.585957,4.598195,v
net_delay,_082_/B,sky130_fd_sc_hd__or2_2,net4,,,0.252012,0.001382,4.599578,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,net4,3,0.010418,0.149379,0.755821,5.355399,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.149379,0.000469,5.355868,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011341,0.106087,0.434219,5.790088,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.106091,0.000758,5.790845,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001968,0.154764,1.086228,6.877073,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154764,0.000128,6.877201,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002144,0.068291,0.463273,7.340474,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068291,0.000142,7.340616,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.018366,0.32574,1.721456,9.062072,v
net_delay,fanout16/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net16,,,0.32574,0.001126,9.063198,v
cell_delay,fanout16/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net16,10,0.075189,0.996708,1.256471,10.31967,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,uio_out[7],,,0.996721,0.0049,10.32457,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,uio_out[7],2,0.006657,0.188151,1.436297,11.760867,v
net_delay,_168_/B1_N,sky130_fd_sc_hd__a21boi_2,_005_,,,0.188151,0.000285,11.761152,v
cell_delay,_168_/Y,sky130_fd_sc_hd__a21boi_2,_005_,1,0.002724,0.075757,0.360148,12.121301,v
net_delay,wire12/A,sky130_fd_sc_hd__clkbuf_4,net12,,,0.075757,0.000181,12.121482,v
cell_delay,wire12/X,sky130_fd_sc_hd__clkbuf_4,net12,1,0.034464,0.139477,0.327689,12.449171,v
net_delay,uo_out[3],out,uo_out[3],,,0.139505,0.001958,12.451128,v
