kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[7],in,,3,0.010302,0.048608,0.032319,4.03232,v
net_delay,_082_/A,sky130_fd_sc_hd__or2_2,ui_in[7],,,0.048612,0.0,4.03232,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,ui_in[7],3,0.010849,0.151996,0.717753,4.750072,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.151996,0.000488,4.75056,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011725,0.107749,0.437446,5.188006,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.107753,0.000793,5.188799,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001971,0.154904,1.086914,6.275713,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154904,0.000128,6.275842,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002119,0.068173,0.46312,6.738962,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068173,0.000141,6.739103,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.015925,0.311452,1.691666,8.430769,v
net_delay,fanout14/A,sky130_fd_sc_hd__buf_4,net5,,,0.311452,0.000989,8.431759,v
cell_delay,fanout14/X,sky130_fd_sc_hd__buf_4,net5,10,0.041168,0.117565,0.428661,8.860419,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net14,,,0.117745,0.004085,8.864504,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net14,2,0.007352,0.191451,1.093976,9.95848,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.191451,0.000412,9.958892,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.002855,0.062403,0.49082,10.449712,v
net_delay,output12/A,sky130_fd_sc_hd__buf_2,net12,,,0.062403,0.000118,10.44983,v
cell_delay,output12/X,sky130_fd_sc_hd__buf_2,net12,1,0.034333,0.166544,0.340441,10.79027,v
net_delay,uo_out[6],out,uo_out[6],,,0.166564,0.001894,10.792164,v
