kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[7],in,,3,0.010346,0.048789,0.032454,4.032454,v
net_delay,_082_/A,sky130_fd_sc_hd__or2_2,ui_in[7],,,0.048792,0.0,4.032454,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,ui_in[7],3,0.010716,0.151318,0.716835,4.749288,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.151318,0.000482,4.749771,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011369,0.106191,0.435298,5.185068,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.106195,0.000759,5.185827,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001968,0.154766,1.086268,6.272094,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154766,0.000128,6.272223,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002213,0.068619,0.463882,6.736105,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068619,0.000146,6.736251,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.018567,0.326549,1.722922,8.459173,v
net_delay,fanout5/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,,,0.326549,0.001132,8.460305,v
cell_delay,fanout5/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,10,0.075179,0.996573,1.256656,9.716962,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,uio_out[7],,,0.996586,0.004899,9.721861,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,uio_out[7],2,0.006657,0.188151,1.436243,11.158104,v
net_delay,_168_/B1_N,sky130_fd_sc_hd__a21boi_2,_005_,,,0.188151,0.000285,11.158389,v
cell_delay,_168_/Y,sky130_fd_sc_hd__a21boi_2,_005_,1,0.002724,0.075757,0.360148,11.518538,v
net_delay,wire1/A,sky130_fd_sc_hd__clkbuf_4,net1,,,0.075757,0.000181,11.518719,v
cell_delay,wire1/X,sky130_fd_sc_hd__clkbuf_4,net1,1,0.034464,0.139477,0.327689,11.846408,v
net_delay,uo_out[3],out,uo_out[3],,,0.139505,0.001958,11.848365,v
