kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[3],in,,1,0.003745,0.022132,0.012268,4.012268,v
net_delay,input4/A,sky130_fd_sc_hd__clkdlybuf4s25_1,ui_in[3],,,0.022141,0.0,4.012268,v
cell_delay,input4/X,sky130_fd_sc_hd__clkdlybuf4s25_1,ui_in[3],4,0.017462,0.251529,0.585614,4.597882,v
net_delay,_082_/B,sky130_fd_sc_hd__or2_2,net4,,,0.251532,0.001379,4.599261,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,net4,3,0.010749,0.15106,0.758078,5.357339,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.151166,0.000537,5.357876,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011742,0.107854,0.437133,5.79501,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.107858,0.000794,5.795804,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001971,0.154787,1.086954,6.882758,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154787,0.000128,6.882886,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002152,0.068327,0.463352,7.346238,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068327,0.000142,7.34638,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.015065,0.304108,1.681169,9.027549,v
net_delay,fanout25/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net16,,,0.304108,0.000929,9.028478,v
cell_delay,fanout25/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net16,10,0.04296,0.576285,0.946478,9.974956,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net25,,,0.576293,0.002871,9.977827,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net25,2,0.00739,0.191538,1.274369,11.252196,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.191538,0.000413,11.252609,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.003569,0.065913,0.496812,11.74942,v
net_delay,output23/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net23,,,0.065913,0.000227,11.749648,v
cell_delay,output23/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net23,1,0.034611,0.468794,0.767993,12.517641,v
net_delay,uo_out[6],out,uo_out[6],,,0.468797,0.00191,12.519551,v
