kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[7],in,,3,0.010325,0.048701,0.032389,4.032389,v
net_delay,_082_/A,sky130_fd_sc_hd__or2_2,ui_in[7],,,0.048705,0.0,4.032389,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,ui_in[7],3,0.010946,0.152498,0.718517,4.750906,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.152498,0.000492,4.751398,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011788,0.108023,0.438007,5.189404,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.108026,0.000795,5.190199,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001978,0.154855,1.087146,6.277345,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154855,0.000129,6.277473,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.00219,0.06851,0.463722,6.741196,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.06851,0.000146,6.741342,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.016323,0.314697,1.696852,8.438193,v
net_delay,fanout14/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,,,0.314697,0.001056,8.43925,v
cell_delay,fanout14/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,10,0.042771,0.574389,0.946704,9.385954,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net14,,,0.574444,0.005765,9.391719,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net14,2,0.007532,0.191986,1.275088,10.666806,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.191986,0.000427,10.667233,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.003504,0.065607,0.496493,11.163726,v
net_delay,output12/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net12,,,0.065607,0.00015,11.163877,v
cell_delay,output12/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net12,1,0.034644,0.469225,0.768164,11.93204,v
net_delay,uo_out[6],out,uo_out[6],,,0.469228,0.001918,11.933958,v
