kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,^
input_driver_load_effect,ui_in[1],in,,6,0.033378,0.243694,0.168475,4.168475,^
net_delay,_089_/B,sky130_fd_sc_hd__xnor2_2,ui_in[1],,,0.243713,0.0,4.168475,^
cell_delay,_089_/Y,sky130_fd_sc_hd__xnor2_2,ui_in[1],2,0.005403,0.198015,0.264463,4.432938,^
net_delay,max_cap22/A,sky130_fd_sc_hd__buf_1,_019_,,,0.198016,0.000304,4.433242,^
cell_delay,max_cap22/X,sky130_fd_sc_hd__buf_1,_019_,4,0.011379,0.226021,0.315746,4.748988,^
net_delay,max_cap21/A,sky130_fd_sc_hd__clkbuf_1,net22,,,0.226021,0.000362,4.74935,^
cell_delay,max_cap21/X,sky130_fd_sc_hd__clkbuf_1,net22,2,0.007173,0.150526,0.272341,5.021691,^
net_delay,_110_/A,sky130_fd_sc_hd__or2_2,net21,,,0.150526,0.000437,5.022128,^
cell_delay,_110_/X,sky130_fd_sc_hd__or2_2,net21,3,0.013329,0.124941,0.275868,5.297997,^
net_delay,_121_/A2,sky130_fd_sc_hd__a21oi_2,_039_,,,0.124943,0.000666,5.298663,^
cell_delay,_121_/Y,sky130_fd_sc_hd__a21oi_2,_039_,2,0.007401,0.096778,0.149139,5.447802,v
net_delay,max_cap20/A,sky130_fd_sc_hd__buf_1,_049_,,,0.096779,0.000667,5.448469,v
cell_delay,max_cap20/X,sky130_fd_sc_hd__buf_1,_049_,2,0.00897,0.113984,0.225346,5.673816,v
net_delay,_139_/C,sky130_fd_sc_hd__or3_2,net20,,,0.113984,0.00041,5.674226,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,net20,1,0.001953,0.154724,0.957093,6.631319,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154724,0.000126,6.631444,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002119,0.068167,0.463023,7.094468,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068167,0.00014,7.094608,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.015372,0.306653,1.684961,8.779569,v
net_delay,fanout14/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,,,0.306653,0.001006,8.780575,v
cell_delay,fanout14/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,10,0.042797,0.574374,0.945216,9.725791,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net14,,,0.57439,0.003591,9.729382,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net14,2,0.006741,0.188562,1.267,10.996382,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.188562,0.000265,10.996647,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.002505,0.060913,0.486571,11.483217,v
net_delay,output12/A,sky130_fd_sc_hd__buf_2,net12,,,0.060913,0.000105,11.483322,v
cell_delay,output12/X,sky130_fd_sc_hd__buf_2,net12,1,0.034705,0.168027,0.340939,11.824261,v
net_delay,uo_out[6],out,uo_out[6],,,0.168048,0.001913,11.826174,v
