kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[7],in,,3,0.010574,0.049718,0.033144,4.033144,v
net_delay,_082_/A,sky130_fd_sc_hd__or2_2,ui_in[7],,,0.049722,0.0,4.033144,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,ui_in[7],3,0.010838,0.15194,0.718117,4.751261,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.15194,0.000487,4.751748,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011652,0.107427,0.437045,5.188793,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.107431,0.000788,5.18958,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001971,0.154798,1.08679,6.276371,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154798,0.000128,6.276499,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002152,0.068327,0.463357,6.739856,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068327,0.000142,6.739998,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.015153,0.304838,1.682268,8.422266,v
net_delay,fanout14/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,,,0.304838,0.000934,8.423201,v
cell_delay,fanout14/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,10,0.042679,0.572795,0.943597,9.366797,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net14,,,0.572814,0.00384,9.370638,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net14,2,0.007402,0.191586,1.273118,10.643757,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.191586,0.000411,10.644168,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.003336,0.064811,0.494904,11.139071,v
net_delay,output12/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net12,,,0.064811,0.000145,11.139216,v
cell_delay,output12/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net12,1,0.034573,0.468326,0.767135,11.906351,v
net_delay,uo_out[6],out,uo_out[6],,,0.468329,0.00191,11.908261,v
