kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[7],in,,3,0.010382,0.048935,0.032559,4.032559,v
net_delay,_082_/A,sky130_fd_sc_hd__or2_2,ui_in[7],,,0.048938,0.0,4.032559,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,ui_in[7],3,0.01094,0.152466,0.718565,4.751124,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.152466,0.000493,4.751617,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011814,0.108141,0.438129,5.189746,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.108145,0.000798,5.190543,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.00198,0.154867,1.087218,6.277761,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154867,0.000129,6.27789,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002151,0.068325,0.463385,6.741275,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068325,0.000143,6.741418,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.015814,0.310027,1.690838,8.432256,v
net_delay,fanout24/A,sky130_fd_sc_hd__buf_1,net5,,,0.310027,0.000836,8.433092,v
cell_delay,fanout24/X,sky130_fd_sc_hd__buf_1,net5,10,0.043439,0.488978,0.590559,9.02365,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net24,,,0.488987,0.002709,9.02636,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net24,2,0.006952,0.189599,1.235461,10.26182,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.189599,0.000265,10.262085,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.002629,0.06156,0.488061,10.750146,v
net_delay,output12/A,sky130_fd_sc_hd__clkbuf_1,net12,,,0.06156,0.00019,10.750336,v
cell_delay,output12/X,sky130_fd_sc_hd__clkbuf_1,net12,1,0.004143,0.063705,0.168961,10.919297,v
net_delay,wire16/A,sky130_fd_sc_hd__clkbuf_4,net16,,,0.063705,0.000277,10.919574,v
cell_delay,wire16/X,sky130_fd_sc_hd__clkbuf_4,net16,1,0.034793,0.140448,0.322753,11.242327,v
net_delay,uo_out[6],out,uo_out[6],,,0.140477,0.001986,11.244312,v
