kind,pin,cell_type,net,fanout,cap_pF,slew_ns,delay_ns,arrival_ns,edge
external_input_delay,,,,,,,4.0,4.0,v
input_driver_load_effect,ui_in[7],in,,3,0.010678,0.050142,0.033445,4.033445,v
net_delay,_082_/A,sky130_fd_sc_hd__or2_2,ui_in[7],,,0.050145,0.0,4.033445,v
cell_delay,_082_/X,sky130_fd_sc_hd__or2_2,ui_in[7],3,0.010744,0.151459,0.717585,4.751029,v
net_delay,_084_/A,sky130_fd_sc_hd__and2_2,_012_,,,0.151459,0.000485,4.751514,v
cell_delay,_084_/X,sky130_fd_sc_hd__and2_2,_012_,3,0.011719,0.107731,0.437157,5.188671,v
net_delay,_139_/A,sky130_fd_sc_hd__or3_2,_014_,,,0.107734,0.000791,5.189462,v
cell_delay,_139_/X,sky130_fd_sc_hd__or3_2,_014_,1,0.001971,0.154779,1.086907,6.276369,v
net_delay,_140_/C,sky130_fd_sc_hd__and3_2,_066_,,,0.154779,0.000128,6.276497,v
cell_delay,_140_/X,sky130_fd_sc_hd__and3_2,_066_,1,0.002152,0.068327,0.463348,6.739845,v
net_delay,_144_/B,sky130_fd_sc_hd__or4_2,_067_,,,0.068327,0.000142,6.739986,v
cell_delay,_144_/X,sky130_fd_sc_hd__or4_2,_067_,3,0.015485,0.307598,1.686383,8.426369,v
net_delay,fanout14/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,,,0.307598,0.000955,8.427324,v
cell_delay,fanout14/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net5,10,0.04273,0.573464,0.945037,9.372361,v
net_delay,_165_/B,sky130_fd_sc_hd__or3b_2,net14,,,0.573483,0.003827,9.376188,v
cell_delay,_165_/X,sky130_fd_sc_hd__or3b_2,net14,2,0.007359,0.191439,1.272944,10.649132,v
net_delay,_173_/A3,sky130_fd_sc_hd__a31o_2,_005_,,,0.191439,0.00041,10.649542,v
cell_delay,_173_/X,sky130_fd_sc_hd__a31o_2,_005_,1,0.003644,0.066273,0.497375,11.146917,v
net_delay,output12/A,sky130_fd_sc_hd__clkdlybuf4s25_1,net12,,,0.066273,0.000279,11.147197,v
cell_delay,output12/X,sky130_fd_sc_hd__clkdlybuf4s25_1,net12,1,0.034565,0.468211,0.76772,11.914916,v
net_delay,uo_out[6],out,uo_out[6],,,0.468214,0.001909,11.916825,v
